Id Domanda;Domanda;Risposta giusta;Risposta sbagliata 1;Risposta sbagliata 2;Risposta sbagliata 3;Peso domanda
1;Chi è l'inventore originale del linguaggio C?;Dennis Ritchie;Bjarne Stroustrup;James Gosling;Ken Thompson;1
2;Perché il C viene definito un linguaggio di "livello medio"?;Permette la manipolazione di bit e indirizzi pur essendo portabile;È più facile da imparare rispetto all'Assembly;Non ha tipi di dati complessi;Funziona solo su sistemi Unix;1
3;Quanti sono i termini chiave (keywords) definiti dallo standard C89?;32;63;100;15;1
4;Qual è lo scopo principale del "linker"?;Unire moduli oggetto e librerie per creare un eseguibile;Tradurre il codice C in linguaggio macchina;Sostituire le macro nel codice sorgente;Eseguire il programma passo dopo passo;1
5;Quali sono i cinque tipi di dati di base definiti nel C subset?;char, int, float, double, void;string, bool, long, double, int;char, short, int, long, void;int, float, array, struct, pointer;1
6;Cosa indica il qualificatore 'volatile'?;La variabile può essere modificata da fattori esterni al programma;La variabile non può mai cambiare valore;La variabile deve essere salvata solo nei registri della CPU;La variabile è visibile solo all'interno di una funzione;1
7;Qual è l'effetto dell'operatore ternario '?'?;Sostituisce alcune istruzioni di tipo if-then-else;Esegue un ciclo fino a quando una condizione è vera;Converte un tipo di dato in un altro;Restituisce la dimensione di un oggetto in byte;1
8;Cosa restituisce l'operatore 'sizeof'?;La dimensione in byte dell'oggetto o tipo specificato;L'indirizzo di memoria della variabile;Il numero di elementi in un array;La lunghezza di una stringa terminata da null;1
9;In C, come viene interpretato il valore "falso"?;Qualsiasi valore uguale a zero;Qualsiasi valore negativo;Il valore NULL;Solo la parola chiave false;1
10;Quale istruzione viene usata per uscire immediatamente da un ciclo o da uno switch?;break;continue;exit;goto;1
11;Qual è la caratteristica di un ciclo 'do-while'?;Il corpo del ciclo viene eseguito almeno una volta;La condizione viene controllata prima di entrare nel ciclo;Non può mai essere infinito;Non può contenere istruzioni if;1
12;Cos'è una stringa nello stile C?;Un array di caratteri terminato da un carattere null (\0);Un oggetto della classe std::string;Una sequenza di caratteri racchiusa tra virgolette singole;Un puntatore a una funzione;1
13;Qual è la funzione usata per copiare una stringa in un'altra?;strcpy();strcat();strlen();strcmp();1
14;Tecnicamente, cos'è un puntatore?;L'indirizzo di memoria di un oggetto;Il valore numerico di una variabile;Un sinonimo di array;Una funzione che non restituisce nulla;1
15;Quale funzione alloca memoria dinamica in C?;malloc();free();new;delete;1
16;Cosa rappresentano argc e argv nella funzione main()?;Il numero e i puntatori agli argomenti della riga di comando;Le variabili globali del programma;Il codice di errore restituito al sistema operativo;Le costanti definite nel preprocessore;1
17;Quale keyword definisce un tipo di dato aggregato sotto un unico nome?;struct;union;enum;typedef;1
18;In una 'union', cosa succede alla memoria allocata?;È condivisa da tutti i membri della union;Ogni membro ha la sua area di memoria separata;È accessibile solo in modalità sola lettura;Viene liberata automaticamente a ogni accesso;1
19;A cosa serve la parola chiave 'typedef'?;A definire un nuovo nome per un tipo di dato esistente;A creare una nuova variabile globale;A dichiarare una funzione esterna;A includere un file header;1
20;Qual è lo scopo della direttiva '#define'?;Definire un identificatore e una sequenza di sostituzione (macro);Includere un file nel programma;Forzare l'arresto della compilazione;Specificare un'opzione del compilatore;1
21;Chi ha inventato il linguaggio C++?;Bjarne Stroustrup;Dennis Ritchie;Bill Gates;Linus Torvalds;1
22;Quali sono i tre pilastri della programmazione orientata agli oggetti (OOP)?;Incapsulamento, polimorfismo, ereditarietà;Variabili, costanti, funzioni;Compilazione, linking, esecuzione;Array, puntatori, strutture;1
23;Cos'è l'incapsulamento?;Il meccanismo che lega codice e dati proteggendoli da interferenze esterne;La capacità di una funzione di richiamare se stessa;Il processo di creazione di un file eseguibile;L'uso di più classi base per una classe derivata;1
24;In C++, qual è l'header standard per le operazioni di I/O?;<iostream>;<stdio.h>;<stdlib.h>;<string.h>;1
25;Quale operatore si usa con 'cout' per visualizzare dati?;<<;>>;++;&;1
26;In C++, dove si possono dichiarare le variabili locali?;In qualsiasi punto del blocco di codice;Solo all'inizio di una funzione;Solo all'esterno del main;Solo all'interno di un'istruzione switch;1
27;Qual è la differenza principale tra una 'class' e una 'struct' in C++?;I membri di una class sono privati di default, quelli di una struct sono pubblici;Le struct non possono avere funzioni;Le class non supportano l'ereditarietà;Le struct non possono avere costruttori;1
28;Cos'è un costruttore?;Una funzione membro che inizializza un oggetto al momento della creazione;Una funzione che distrugge un oggetto;Un operatore per l'allocazione dinamica;Una macro del preprocessore;1
29;Quando viene richiamato il distruttore di una classe?;Quando l'oggetto esce dal suo ambito di visibilità o viene eliminato;Ogni volta che si chiama una funzione membro;Solo se si verifica un errore nel programma;Quando si dichiara l'oggetto;1
30;A cosa punta il puntatore 'this'?;All'oggetto che ha generato la chiamata alla funzione membro;Alla classe base;All'indirizzo della funzione main;Al prossimo elemento di un array;1
31;Quali operatori sostituiscono malloc e free in C++?;new e delete;alloc e dealloc;create e destroy;get e put;1
32;Cos'è un "riferimento" (reference) in C++?;Un nome alternativo (alias) per una variabile esistente;L'indirizzo di memoria di una variabile;Una copia esatta di un oggetto;Un puntatore a una funzione virtuale;1
33;Cosa permette di fare il "function overloading"?;Definire più funzioni con lo stesso nome ma parametri diversi;Eseguire una funzione in modo asincrono;Nascondere i dati privati di una classe;Richiamare una funzione della classe base;1
34;Quale parola chiave si usa per sovraccaricare un operatore?;operator;overload;friend;virtual;1
35;Cosa succede nell'ereditarietà multipla?;Una classe deriva da più di una classe base;Una classe base ha più classi derivate;Una funzione richiama più classi contemporaneamente;Un oggetto viene creato più volte in memoria;1
36;Quale problema risolvono le classi base virtuali?;L'ambiguità nell'ereditarietà multipla (problema del diamante);L'eccessivo consumo di memoria;L'impossibilità di usare puntatori;La lentezza della compilazione;1
37;Cosa permette il polimorfismo a tempo di esecuzione?;Le funzioni virtuali;Le macro del preprocessore;I parametri predefiniti;Le variabili statiche;1
38;Cosa rende una classe "astratta"?;La presenza di almeno una funzione virtuale pura;L'assenza di membri dati;Il fatto di non avere un costruttore;L'uso della parola chiave abstract;1
39;Qual è lo scopo della Standard Template Library (STL)?;Fornire soluzioni pronte all'uso tramite container, algoritmi e iteratori;Sostituire completamente il preprocessore;Gestire l'interfaccia grafica dei programmi;Tradurre il codice in Java;1
40;Quale container della STL rappresenta un array dinamico?;vector;list;map;stack;1
41;Cosa sono gli "iteratori" nella STL?;Oggetti che agiscono come puntatori per scorrere i container;Funzioni che ordinano i dati;Variabili che contengono il numero di elementi;Errori generati a tempo di esecuzione;1
42;Quale blocco si usa in C++ per gestire le eccezioni?;try, catch, throw;if, else, switch;begin, end, final;open, read, close;1
43;Cosa indica la parola chiave 'namespace'?;Una regione dichiarativa per organizzare i nomi dei programmi;Il nome fisico del file sorgente;Il percorso di installazione del compilatore;L'area di memoria dedicata allo stack;1
44;Qual è l'estensione convenzionale dei file sorgente C++?;.cpp;.c;.h;.obj;1
45;Cosa fa l'operatore '::'?;Risoluzione dell'ambito (scope resolution);Accesso ai membri di una struttura;Confronto di uguaglianza;Allocazione di un array;1
46;Qual è il valore numerico di 'true' dopo la conversione in intero?;1;0;-1;Qualsiasi valore negativo;1
47;Quale funzione della libreria standard C restituisce la lunghezza di una stringa?;strlen();strcpy();strtok();scanf();1
48;In C++, quale manipolatore inserisce un carattere di nuova riga e svuota il buffer?;endl;nl;newline;flush;1
